6591254 | 2025-06-03 01:01:28 +0800 | colorful | - 去掉无用的输出
4b48516 | 2025-06-03 00:57:52 +0800 | colorful | - 增加游戏音乐 - 修改导弹的初始化代码
cfe7d26 | 2025-06-03 00:08:09 +0800 | colorful | - 修改敌人的模型数据
8d8c971 | 2025-06-02 23:31:02 +0800 | colorful | - 删除无用的函数
d1fa77e | 2025-06-02 23:29:21 +0800 | colorful | - 修正部分模型参数
90c1dcf | 2025-06-02 23:09:01 +0800 | colorful | - 修改导弹的配置文件，分成敌我
d2a1aa6 | 2025-06-02 21:07:10 +0800 | colorful | - 更正部分模型法线贴图错误的问题
8db395c | 2025-06-02 20:46:49 +0800 | colorful | - 修改一些参数使得具有一定的游戏性 - 修改一些字符串表示 - 去除无用的空表 - 增加锁定的功能
bed0b76 | 2025-06-02 19:27:21 +0800 | colorful | - 修改导弹的模型 - 删除main中无用的敌人
0171d2a | 2025-06-01 16:09:31 +0800 | colorful | - 修改配置文件，增加人物的运动动画
63fca53 | 2025-06-01 14:33:16 +0800 | colorful | - 增加初版像中子一样的人物动画，需要不断的修改配置文件让动画更加的生动
2383725 | 2025-06-01 12:28:44 +0800 | colorful | - 修改Mecha类以支持动画系统的实现 - model.xml修改增加身体部分
3888b58 | 2025-06-01 12:05:43 +0800 | colorful | - 修复绘图时的bug，将pv和pvm混淆了
8f3b76d | 2025-06-01 00:30:49 +0800 | colorful | - 增加三次函数的插值
bb8ed76 | 2025-06-01 00:03:11 +0800 | colorful | - 修改model.xml的文件内容，使动画可以正常的播放 - 修改树节点的实现
80a041e | 2025-05-31 19:15:28 +0800 | colorful | - 从配置文件中读取动画数据 - 增加动画数据的节点和树 - 现在支持了线性插值 - 需要支持二次和三次插值的实现
059bd8d | 2025-05-31 15:58:22 +0800 | colorful | - 从配置文件读取模型动画，同时设置树节点去完成节点之间的映射关系 - 修改模型配置文件
90ac316 | 2025-05-30 20:06:27 +0800 | colorful | - 去掉无用注释
43b7056 | 2025-05-30 20:05:41 +0800 | colorful | - 太阳系统优化 - 设计层级结构的节点
2920e22 | 2025-05-30 13:25:37 +0800 | colorful | - 增加太阳系的简单实现 - 矩阵类增加旋转矩阵
33b51a9 | 2025-05-27 20:28:22 +0800 | colorful | - 光照计算性能优化 - 法线使用本地计算 - 使用合并后的法向量
9c63122 | 2025-05-27 01:42:46 +0800 | colorful | - 增加光照模型，现在的光照模型特别简单，需要进一步的优化 - 可能有bug，但是目前还没有有效的检测手段
5619a35 | 2025-05-26 11:36:45 +0800 | colorful | - 冲突合并之后的分支，防止有没更新的文件
86dc9f0 | 2025-05-26 11:35:09 +0800 | colorful | - 合并某个版本的冲突
5897c32 | 2025-05-26 01:01:31 +0800 | colorful | - 增加小地图功能 - 增加UI功能 - 目前有个bug是人物的准星不会一直锁定，只有敌人静态的时候可以锁定
a8e476e | 2025-05-25 18:32:13 +0800 | colorful | - 一个可用的AI版本，可以实现敌人的随机移动，碰撞检测，以及随机攻击 - 后面看是不是可以优化上AI的逻辑，在碰到墙壁的时候远离墙壁
cef384b | 2025-05-25 17:04:03 +0800 | colorful | - 加入简单的AI处理，现在敌人会每隔一段时间自动的攻击 - 需要优化下AI的判断逻辑
7e27732 | 2025-05-25 14:29:29 +0800 | colorful | - 文件拆分，用来解决多余的Enemy类定义 - 修复因此带来的bug，主要是敌人没有设置碰撞体
c864144 | 2025-05-25 02:09:48 +0800 | colorful | - 修复空中旋转的bug，是因为rotation_y没有同步更新，后续还是使用欧拉角描述旋转比较好 - 增加锁敌的功能，在一定角度范围内敌人就会进行锁定状态
ba893b3 | 2025-05-25 00:07:40 +0800 | colorful | - 增加倒计时的功能
de3af23 | 2025-05-24 23:59:41 +0800 | colorful | - 跳跃过程中禁止攻出，但是空中停留的时候可以攻出 - 导弹设置了能量条可以进行恢复 - 将摄像机相关代码单独放在一个文件中
83bdef0 | 2025-05-24 21:50:57 +0800 | colorful | - 增加敌人HP的生命值显示和判定的功能
0a822d8 | 2025-05-24 21:26:55 +0800 | colorful | - 增加视角旋转的代码
be87871 | 2025-05-24 21:14:39 +0800 | colorful | - 增加导弹自动跟踪的功能，优化了一版，现在导弹会自动跟踪并绕着Z轴旋转 - 优化旧的旋转逻辑，改变下旋转的参数设置
34cd819 | 2025-05-24 14:02:11 +0800 | colorful | - 修复空中按下跳跃键人物会一直旋转的问题 - 目前旋转的角度似乎有些问题
0615381 | 2025-05-24 08:37:18 +0800 | colorful | - 增加导弹自动跟踪的功能 - 增加绕物体自身坐标原点旋转的功能，以及通用的旋转公式 - 下个版本可以优化下导弹的自动跟踪功能，增加新的导弹追踪
8086533 | 2025-05-23 16:22:24 +0800 | colorful | - 优化模型变换矩阵的判定方法
2bbdad3 | 2025-05-23 14:58:07 +0800 | colorful | - 增加导弹自动跟踪的功能 - 目前的实现是直接计算和敌人的向量，然后让这个向量加上原来的速度向量，然后设置一定的超时时间
c741a0f | 2025-05-22 22:37:49 +0800 | colorful | - 现在按下空格键，人物会自动转向敌人 - 目前尚存的一个bug是按下空格键的同时移动，移动速度会特别的快
4213935 | 2025-05-22 00:30:11 +0800 | colorful | - 增加速度移动代码，现在可以移动定的加速度进行运动，并且在速度达到最大之后松开即可减少速度 - 但是因为因为z轴的方向问题，需要特殊处理一下长度，导致整体有些trick - 更改文件名称 - 增加初始版的状态迁移代码
809d621 | 2025-05-22 00:30:11 +0800 | colorful | - 增加速度移动代码，现在可以移动定的加速度进行运动，并且在速度达到最大之后松开即可减少速度 - 但是因为因为z轴的方向问题，需要特殊处理一下长度，导致整体有些trick - 更改文件名称
ab06d82 | 2025-05-20 21:43:56 +0800 | colorful | - 修复代码中的重复三角形测试代码
b8cdd5d | 2025-05-20 21:35:27 +0800 | colorful | - 碰撞响应继续优化 - 优化了和多个三角形检测的碰撞处理 - 优化了和多个物体碰撞的处理，现在不会穿也不会卡墙 - 目前的问题碰撞处理，应该按照顺序处理，但是现在的代码都是同时处理，是否应该按照顺序处理似乎有待商榷，书上按照顺序处理的 - 移动向量修正是否都应该作为下一个向量的输入，还是只需要一个就行了 - 目前的检测性能比较低，每次都会循环两遍，重复做物体和三角形检测
bd82d4a | 2025-05-20 16:08:35 +0800 | colorful | - 增加更多的敌人模型，现在还是会有穿透和卡住的问题
12bb64a | 2025-05-20 15:35:56 +0800 | colorful | - 增加从配置文件中读取原点信息的代码
9d3d4b3 | 2025-05-20 15:18:25 +0800 | colorful | - 该版本有间隙穿透的问题，是因为和第一个三角形进行检测的时候发现碰撞了没有移动，但是和第二个三角形检测的时候发现可以有一个不碰撞的方向，利用这个方向移动，就会穿透第一个三角形 - 需要注意设置三角形为斜面才可以观察到这种效果
441973a | 2025-05-20 14:51:36 +0800 | colorful | - 修复三角形碰撞相关的bug，尤其是人物需要一开始设置一点点y轴偏移量，否则由于相交检测脚底在地面上，即使y=1，也无法跳跃 - 物体的初始化位置有些问题修复
dd2fc2d | 2025-05-20 02:19:24 +0800 | colorful | - 三角形碰撞检测的代码，修复上个版本三角形判断的bug - 现在这个版本有个bug是人物和平台和敌人同时左碰撞检测的时候，人物会掉下去，原因还未知 - 类写的不很优雅，需要重构部分类
95b57dd | 2025-05-19 23:47:37 +0800 | colorful | - 重构碰撞检测的部分代码，增加识别字段 - 增加了三角形的检测代码但是还没有完成测试
062a42c | 2025-05-19 17:27:14 +0800 | colorful | - [bug_fix]修复上个版本切换type因为初始参数错误导致的碰撞检测失效问题
